name,slug,parent,description
Fegyverek,fegyverek,,
Golyós,golyos,Fegyverek,
Ismétlő,ismetlo-golyas,Golyós,
Billenő,billeno-golyas,Golyós,
Alsókulcsos,alsokulcsos-golyas,Golyós,
Félauto,felauto,Golyós,
Egyeneshúzású,egyeneshuzasu,Golyós,
Sörétes,soretes,Fegyverek,
Bock,bock-soretes,Sörétes,
Dupla,dupla-soretes,Sörétes,
Pumpás (előagyszánas),pumpas-eloagyszanas,Sörétes,
Félautomata,felautomata-soretes,Sörétes,
Alsókulcsos,alsokulcsos-soretes,Sörétes,
Drilling 3 csövű,drilling-3-csovu,Sörétes,
Egylövetű,egylovetu,Sörétes,
Kiskaliberű,kiskaliberu,Fegyverek,
Ismétlő,ismetlo-kiskaliberu,Kiskaliberű,
Alsókulcsos,alsokulcsos-kiskaliberu,Kiskaliberű,
Öntöltő (sport),ontolto-sport,Kiskaliberű,
Tradicionális,tradicionalis,Kiskaliberű,
Billenő,billeno-kiskaliberu,Kiskaliberű,
Duplagolyós,duplagolyos,Fegyverek,
Bock,bock-duplagolyos,Duplagolyós,
Dupla,dupla-duplagolyos,Duplagolyós,
Vegyescsövű,vegyescsovu,Fegyverek,
Drilling,drilling,Fegyverek,
Maroklő,maroklo,Fegyverek,
Szekrénytáras,szekrenytaras-maroklo,Maroklő,
Forgótáras,forgotaras-maroklo,Maroklő,
Váltócső,valtocso,Fegyverek,
Golyós,golyas-valtocso,Váltócső,
Duplagolyós,duplagolyos-valtocso,Váltócső,
Sörétes,soretes-valtocso,Váltócső,
Vegyes,vegyes,Váltócső,
Zárfejek,zarfejek,Váltócső,
Alkatrészek,alkatreszek,Fegyverek,
"Choke, Szűkítés",choke-szukites,Alkatrészek,
Tár,tar-alkatresz,Alkatrészek,
Elsütés,elsutes,Alkatrészek,
Irányzék,iranyzek-alkatresz,Alkatrészek,
Oldalpanel,oldalpanel,Alkatrészek,
"Tus, markolat",tus-markolat,Alkatrészek,
Egyéb,egyeb-alkatresz,Alkatrészek,
Elöltöltő,eloltolto,Fegyverek,
Engedélymentes fegyver,engedelymentes-fegyver,,
Önvédelmi eszközök,onvedelmi-eszkozok,Engedélymentes fegyver,
Gázspray,gazspray,Önvédelmi eszközök,
Kubotan,kubotan,Önvédelmi eszközök,
Taktikai toll,taktikai-toll,Önvédelmi eszközök,
Egyéb önvédelmi eszköz,egyeb-onvedelmi-eszkoz,Önvédelmi eszközök,
Airsoft fegyver,airsoft-fegyver,Engedélymentes fegyver,
Rugós airsoft,rugos-airsoft,Airsoft fegyver,
Elektromos airsoft,elektromos-airsoft,Airsoft fegyver,
Gázos airsoft,gazos-airsoft,Airsoft fegyver,
Co2 patronos airsoft,co2-patronos-airsoft,Airsoft fegyver,
Dual power airsoft,dual-power-airsoft,Airsoft fegyver,
Gáz-riasztó pisztoly,gaz-riaszto-pisztoly,Engedélymentes fegyver,
Szekrénytáras gázpisztoly,szekrenytaras-gazpisztoly,Gáz-riasztó pisztoly,
Forgótáras gázpisztoly,forgotaras-gazpisztoly,Gáz-riasztó pisztoly,
Csőletörős gázpisztoly,csoletoros-gazpisztoly,Gáz-riasztó pisztoly,
Légpisztoly,legpisztoly,Engedélymentes fegyver,
Co2 patronos légpisztoly,co2-patronos-legpisztoly,Légpisztoly,
Csőletörős légpisztoly,csoletoros-legpisztoly,Légpisztoly,
Légtartályos légpisztoly,legtartalyos-legpisztoly,Légpisztoly,
Rugós légpisztoly,rugos-legpisztoly,Légpisztoly,
Légpuska,legpuska,Engedélymentes fegyver,
Csőletörős rugós légpuska,csoletoros-rugos-legpuska,Légpuska,
Fix csövű rugós légpuska,fix-csovu-rugos-legpuska,Légpuska,
Co2 patronos légpuska,co2-patronos-legpuska,Légpuska,
Légtartályos (PCP) légpuska,legtartalyos-pcp-legpuska,Légpuska,
Gázrugós légpuska,gazrugos-legpuska,Légpuska,
Gyakorló fegyver,gyakorlo-fegyver,Légpuska,
Gumilövedékes és gyakorló,gumilovedekes-es-gyakorlo,Engedélymentes fegyver,
"Gumi, bors és festéklövők",gumi-bors-es-festeklovok,Gumilövedékes és gyakorló,
Gumilövedékes puska,gumilovedekes-puska,Gumilövedékes és gyakorló,
"Tárak, alkatrészek",tarak-alkatreszek-gumilovedekes,Gumilövedékes és gyakorló,
"Töltény, lövedék",tolteny-lovedek,Engedélymentes fegyver,
Airsoft lövedék 6mmBB,airsoft-lovedek-6mmbb,"Töltény, lövedék",
"AirSoft gáz, szilikon",airsoft-gaz-szilikon,"Töltény, lövedék",
Co2 patron légpisztolyhoz,co2-patron-legpisztolyhoz,"Töltény, lövedék",
Gáz és riasztó töltény,gaz-es-riaszto-tolteny,"Töltény, lövedék",
Jelzőrakéta-tüzijáték riasztó fegyverhez,jelzoraketa-tuzijatek-riaszto-fegyverhez,"Töltény, lövedék",
Léglövedék 4.5 (.177),leglovedek-4-5-177,"Töltény, lövedék",
Léglövedék 5.5 (.22),leglovedek-5-5-22,"Töltény, lövedék",
Léglövedék 4.5 BB,leglovedek-4-5-bb,"Töltény, lövedék",
.43 RAM,43-ram,"Töltény, lövedék",
.68 RAM,68-ram,"Töltény, lövedék",
.50 RAM,50-ram,"Töltény, lövedék",
Gumilövedék,gumilovedek,"Töltény, lövedék",
Léglövedék 6.35 (.25),leglovedek-6-35-25,"Töltény, lövedék",
Léglövedék 7.62 (.30),leglovedek-7-62-30,"Töltény, lövedék",
Kiegészítők,kiegeszitok-tolteny-lovedek,"Töltény, lövedék",
Tár-tartozék-alkatrész,tar-tartozek-alkatresz,Engedélymentes fegyver,
Alkatrész,alkatresz,Tár-tartozék-alkatrész,
Tartozék,tartozek,Tár-tartozék-alkatrész,
Tárak,tarak,Tár-tartozék-alkatrész,
Csúzli,csuzli,Engedélymentes fegyver,
"Íj, számszeríj, fúvócső",ij-szamszerij-fuvocso,Engedélymentes fegyver,
Íjvessző,ijvesszo,"Íj, számszeríj, fúvócső",
Fúvócső,fuvocso,"Íj, számszeríj, fúvócső",
Nyílpisztoly,nyilpisztoly,"Íj, számszeríj, fúvócső",
Számszeríj/nyílpuska,szamszerij-nyilpuska,"Íj, számszeríj, fúvócső",
Íj,ij,"Íj, számszeríj, fúvócső",
Kiegészítők,kiegeszitok-ij,"Íj, számszeríj, fúvócső",
Darts,darts,"Íj, számszeríj, fúvócső",
"Céltáblák, célok",celtablak-celok,Engedélymentes fegyver,
Kompresszor,kompresszor,Engedélymentes fegyver,
"Modell, makett",modell-makett,Engedélymentes fegyver,
Játék,jatek,Engedélymentes fegyver,
Lőszerek,loszerek,,
Golyós lőszer,golyos-loszer,Lőszerek,
